cluster,topics,aspects
110.0,"['text', 'time', 'otp', 'bank', 'send', 'even', 'app', 'activ', 'messag', 'sent', 'receiv', 'sms', 'work', 'googl', 'show']"," sms, message"
111.0,"['call', 'time', 'memori', 'slot', 'one', 'card', 'dual', 'network', 'issu', 'hybrid', 'sd', 'work', 'sim']"," sim card, memory card , slot , network  "
112.0,"['sometim', 'call', 'ear', 'proper', 'use', 'sensor', 'issu', 'get', 'turn', 'proxim', 'work', 'display', 'problem', 'screen']","calling , proximity sensor "
113.0,"['purchas', 'satsfactori', 'use', 'satsf', 'fulli', 'qute', 'amazon', 'would', 'overal', 'perform', 'ths', 'wth']",none
114.0,"['sometim', 'call', 'time', 'play', 'screen', 'dual', 'issu', 'get', 'video', 'even', 'app', 'messag', 'work', 'whatsapp']",whatsapp
115.0,"['call', 'etc', 'calls,', 'use', 'watch', 'youtube,', 'youtub', 'calling,', 'whatsapp,', 'video', 'social', 'usag', 'whatsapp']","calling, youtube , whatsapp"
116.0,"['well', 'rest', 'look', 'perfect', 'apart', 'functional)rest', 'far', 'everyth', 'work', 'other', 'ok', 'fine', 'okay', 'thing']",none
117.0,"['connect', 'support', 'speed', 'network', 'carrier', 'get', 'career', 'issu', 'show', 'work', '4g+', 'aggreg', 'sim']","carrier aggregation, network"
118.0,"['smooth', 'os', 'one', 'clean', 'color', 'oxygeno', 'experi', 'ui', 'os,', 'feel', 'wth', 'ths', 'oxygen']","os, ui , feel"
119.0,"['call', 'record', 'featur', 'automat', 'auto', 'app', 'avail', 'recordng', 'googl', 'know', 'person', 'problem', 'option', 'voic']",call recording
120.0,"['smooth', 'os', 'user', 'one', 'clean', 'featur', 'oper', 'lke', 'issu', 'experi', 'os,', 'fast', 'perform', 'system']","os, performance"
121.0,"['smooth', 'look', 'user', 'updat', 'one', 'clean', 'bug', 'ui,', 'lot', 'ui', 'interfac', 'experi', 'need', 'perform']","ui, bugs"
122.0,"['smooth', 'processor', 'day', 'mediatek', 'helio', 'one', 'use', 'speed', 'rang', 'power', 'work', 'perform', 'fast', 'price']","processor, performance"
123.0,"['processor', '5g', 'snapdragon', 'game', '870', '888', 'chipset', 'compar', 'exyno', 'fast', 'perform', 'price', 'ths']","processor, games, performance"
